Name	Latitude	Longitude	max_amount	min_amount	food_level	open_month	close_month	year_build
The Odyssey	31.2063083	27.89701675	456	59	4			2001
Great Expectations	38.48498297	-68.66000631	337	163	5			2003
Moby Dick	56.84737191	-11.78377332	402	195	6			2009
The Brothers Karamazov 	12.22302799	34.67914292	379	164	4			1995
The Scarlet Letter	6.301058693	-43.49307349	436	145	1			1993
Gargantua and Pantagruel	-68.30920158	19.46777752	342	85	2			1995
Madame Bovary	-36.41585969	24.38016525	371	57	7			2014
Anna Karenina	-19.08772359	-39.8652538	473	160	1			2015
Anna Karenina	-57.87752384	-54.27036425	464	119	3			2009
David Copperfield	16.08839471	-18.76135313	500	95	7			2018
One Hundred Years of Solitude	57.63628345	-57.33491525	469	149	2			1992
The Brothers Karamazov 	-32.61617027	53.96711228	394	59	3			1998
The Sun Also Rises	19.15825112	-70.26186968	407	63	7			2003
The Metamorphosis	46.71584453	13.58607928	488	61	1			2009
War and Peace	-5.106068714	26.93719058	431	86	2			1999
The Divine Comedy	-22.73419255	-62.67704238	452	133	2			1998
Game of Thrones	14.96643588	51.28981809	314	186	3			2011
The Old Man and the Sea	52.35196162	42.82607344	412	149	9			2016
Great Expectations	6.875410194	-25.85620664	389	180	8			2006
To the Lighthouse	3.782723146	30.18891311	499	187	6			2002
Lord of the Flies	-17.61183731	8.884511675	418	75	3			1998
In Search of Lost Time	2.84139161	57.6351437	500	105	9			2002
Hamlet	-63.37105912	-2.32493513	470	142	9			2010
Ulysses	-56.96625831	-67.8241899	369	116	4			1992
Tristram Shandy	49.08697137	-37.35219862	456	66	4			2005
 Oedipus at Colonus	-1.851193249	-53.11642176	324	159	4			1993
Moby Dick	47.61072273	-8.538582998	385	149	9			2004
The Old Man and the Sea	5.771193997	25.85267919	480	132	7			2015
The Divine Comedy	-0.776872063	-64.57074088	485	118	2			2015
One Hundred Years of Solitude	-57.50785647	-67.98708155	395	163	4			2008
Tristram Shandy	34.10596826	-67.65662443	500	188	7			2001
Alice Adventures in Wonderland	61.62041149	-58.12760249	382	174	6			2018
Hamlet	-57.69435648	69.77865919	308	87	6			2009
Hamlet	69.78939763	25.95779103	311	176	8			1995
The Flowers of Evil	7.056774585	-11.77773985	365	72	10			2017
The Magic Mountain	-58.71616062	-21.7358735	387	88	3			2006
The Magic Mountain	26.10206615	-37.07081561	330	69	4			2006
Wuthering Heights	-15.52250429	61.46322416	407	144	6			2011
War and Peace	-65.54678039	30.12438171	381	64	8			2000
Invisible Man	59.65871814	-58.50183674	365	73	1			2016
Gargantua and Pantagruel	-22.91040122	32.85461437	357	146	6			2002
The Lord of The Rings	-61.89425067	-29.93816914	493	200	7			2004
The Great Gatsby	-64.5679309	23.44790349	500	97	7			2015
The Odyssey	3.703076287	19.25267704	371	145	7			1991
The Scarlet Letter	-6.016116171	-33.629291	370	160	7			2005
Les Misérables	-28.17834971	63.0585	407	54	3			2003
The Odyssey	-24.71618745	-53.88917711	384	142	8			1996
Lolita	21.64735521	30.28876052	318	177	7			2015
Madame Bovary	30.28845094	65.22826965	369	161	5			2006
In Search of Lost Time	43.9812121	-36.20095687	455	126	5			1997
The Scarlet Letter	55.69828219	50.93276725	486	148	8			1997
Madame Bovary	35.62912402	-42.68020484	466	119	3			2013
The Grapes of Wrath	24.54625315	-21.64333175	316	58	2			2013
Pride and Prejudice	-10.73527307	-46.3710272	381	123	2			1992
Hamlet	25.1417066	-29.60306384	434	83	10			2007
David Copperfield	15.5031139	-49.96282022	439	107	4			2014
Great Expectations	-27.59104461	39.26066154	432	78	10			2009
The Divine Comedy	-1.778067411	-61.27688589	461	126	6			2010
Tristram Shandy	-10.76664484	-20.90578749	335	100	9			2008
The Lord of The Rings	-37.12718446	70.33555569	500	106	5			1992
The Brothers Karamazov 	18.50258543	-24.97265712	322	160	2			2017
